season_number,startup_name,episode_number,pitch_number,season_start,season_end,original_air_date,episode_title,anchor,industry,business_description,company_website,started_in,number_of_presenters,male_presenters,female_presenters,transgender_presenters,couple_presenters,pitchers_average_age,pitchers_city,pitchers_state,yearly_revenue,monthly_sales,gross_margin,net_margin,ebitda,cash_burn,skus,has_patents,bootstrapped,part_of_match_off,original_ask_amount,original_offered_equity,valuation_requested,received_offer,accepted_offer,total_deal_amount,total_deal_equity,total_deal_debt,debt_interest,deal_valuation,number_of_sharks_in_deal,deal_has_conditions,royalty_percentage,royalty_recouped_amount,advisory_shares_equity,namita_investment_amount,namita_investment_equity,namita_debt_amount,vineeta_investment_amount,vineeta_investment_equity,vineeta_debt_amount,anupam_investment_amount,anupam_investment_equity,anupam_debt_amount,aman_investment_amount,aman_investment_equity,aman_debt_amount,peyush_investment_amount,peyush_investment_equity,peyush_debt_amount,ritesh_investment_amount,ritesh_investment_equity,ritesh_debt_amount,amit_investment_amount,amit_investment_equity,amit_debt_amount,guest_investment_amount,guest_investment_equity,guest_debt_amount,invested_guest_name,all_guest_names,namita_present,vineeta_present,anupam_present,aman_present,peyush_present,ritesh_present,amit_present,guest_present,deal_status,deal_count,investment_in_crores
1,JhaJiAchaar,4,11,20-Dec-21,4-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Rannvijay Singh,Food And Beverage,Pickle,https://www.jhajistore.com/,2021.0,2,,2.0,,0.0,,Darbhanga,Bihar,,5.0,18.0,,,,,,,,50.0,10.0,500.0,1,1.0,56.6,5.62,,,1007.0,2.0,,,,,28.3,2.81,,28.3,2.81,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.57
1,Bummer,4,12,20-Dec-21,4-Feb-22,23-Dec-21,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Underwear,https://bummer.in/,2020.0,1,1.0,,,0.0,,Ahmedabad,Gujarat,36.0,15.0,70.0,,,,,,,,75.0,4.0,1875.0,1,1.0,75.0,7.5,,,1000.0,2.0,,,,,37.5,3.75,,,,,,,,37.5,3.75,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.75
1,RevampMoto,5,13,20-Dec-21,4-Feb-22,24-Dec-21,Hunt For Interesting Business,Rannvijay Singh,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,https://www.revampmoto.in/,2021.0,3,3.0,,,0.0,,Nashik,Maharashtra,,0.01,,,,,,,,,100.0,1.0,10000.0,1,1.0,100.0,1.5,,,6667.0,2.0,,,,,,,,,,,50.0,0.75,,50.0,0.75,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,1.0
1,HungryHead,5,14,20-Dec-21,4-Feb-22,24-Dec-21,Hunt For Interesting Business,Rannvijay Singh,Food And Beverage,Restaurant serving 80 types of Maggi,http://www.hungryhead.co.in/,2013.0,2,2.0,,,0.0,,Mumbai,Maharashtra,,5.5,,,,,80.0,,,,50.0,5.0,1000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
1,ShrawaniEngineers,5,15,20-Dec-21,4-Feb-22,24-Dec-21,Hunt For Interesting Business,Rannvijay Singh,Beauty/Fashion,Belly Button Shaper,https://www.shrawaniengineers.com/,2019.0,2,1.0,1.0,,1.0,,Nagpur,Maharashtra,50.0,,,,,,,,,,20.0,10.0,200.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
1,SkippiIcePops,6,16,20-Dec-21,4-Feb-22,27-Dec-21,"New Week, New Ideas",Rannvijay Singh,Food And Beverage,Ice-Pops,https://skippi.in/,2021.0,2,1.0,1.0,,1.0,,Hyderabad,Telangana,,7.5,,,,,,yes,,,45.0,5.0,900.0,1,1.0,100.0,15.0,,,667.0,5.0,,,,,20.0,3.0,,20.0,3.0,,20.0,3.0,,20.0,3.0,,,,,,,,,,,20.0,3.0,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,1.0
1,Menstrupedia,6,17,20-Dec-21,4-Feb-22,27-Dec-21,"New Week, New Ideas",Rannvijay Singh,Children/Education,Menstrual Awareness Comic,https://www.menstrupedia.com/,2012.0,2,1.0,1.0,,1.0,,Ahmedabad,Gujarat,115.0,,27.0,,,,,,,,50.0,10.0,500.0,1,1.0,50.0,20.0,,,250.0,1.0,,,,,50.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,0.5
1,Hecoll,6,18,20-Dec-21,4-Feb-22,27-Dec-21,"New Week, New Ideas",Rannvijay Singh,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,https://hecoll.com/,2019.0,1,,1.0,,0.0,,Hyderabad,Telangana,107.0,,,,,,,,,,100.0,1.0,10000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
1,RaisingSuperstars,7,19,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Children/Education,Child Development App,https://raisingsuperstars.com/india-page,2020.0,2,1.0,1.0,,1.0,,Gurgaon,Haryana,1300.0,,,,,,,,,,100.0,2.0,5000.0,1,1.0,100.0,4.0,,,2500.0,2.0,,,,,,,,,,,,,,50.0,2.0,,,,,,,,,,,50.0,2.0,,Ashneer Grover,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,Deal,1,1.0
1,Torch-it,7,20,20-Dec-21,4-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Children/Education,Gadgets for visually impaired people,https://mytorchit.com/,2018.0,1,1.0,,,0.0,,Ahmedabad,Gujarat,260.0,1.0,,,,,,yes,,,75.0,1.0,7500.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashneer Grover,1.0,1.0,1.0,1.0,,,,1.0,No Deal,0,
